,Unnamed: 0,Number.of.Bags,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Category.Two.Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters
54,54,275,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,7.92,85.92,0.0,1,0.0,0,1800.0,1800.0,1800.0
55,55,37,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,8.0,85.83,0.08,0,1.0,0,1600.0,1600.0,1600.0
56,56,320,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,8.0,85.83,0.1,0,0.0,4,1800.0,2000.0,1900.0
57,57,150,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,8.0,85.83,0.12,0,0.0,3,1524.0,1524.0,1524.0
58,58,275,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,8.0,85.83,0.1,0,0.0,1,1417.32,1417.32,1417.32
59,59,320,7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,10.0,8.0,85.75,0.09,0,4.0,7,1750.7133150586112,1799.3477749323713,1775.0305449954915
60,60,280,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,8.0,85.75,0.1,4,0.0,6,1750.7133150586112,1799.3477749323713,1775.0305449954915
61,61,7,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,7.92,85.75,0.12,0,0.0,1,1700.0,1700.0,1700.0
62,62,275,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,8.0,85.58,0.1,0,0.0,3,1500.0,1500.0,1500.0
63,63,19,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,7.92,85.58,0.11,0,0.0,0,1300.0,1400.0,1350.0
64,64,8,7.83,8.0,7.92,7.75,8.08,8.0,10.0,10.0,10.0,8.0,85.58,0.0,0,0.0,1,1750.7133150586112,1799.3477749323713,1775.0305449954915
65,65,100,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,7.83,85.5,0.09,2,0.0,2,1680.0,1680.0,1680.0
66,66,16,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,8.0,85.5,0.1,0,0.0,3,1900.0,1900.0,1900.0
67,67,320,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,8.0,85.5,0.12,0,0.0,7,1800.0,2000.0,1900.0
68,68,320,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,8.08,85.5,0.12,0,0.0,1,1600.0,1600.0,1600.0
69,69,250,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,7.83,85.5,0.11,0,0.0,1,1706.88,1755.648,1731.264
70,70,320,7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,10.0,8.08,85.42,0.1,0,0.0,18,1800.0,2000.0,1900.0
71,71,150,8.08,8.0,7.83,7.67,8.0,7.83,10.0,10.0,10.0,8.0,85.42,0.12,0,0.0,5,1950.0,1950.0,1950.0
72,72,8,7.92,7.92,7.75,7.92,7.75,7.92,10.0,10.0,10.0,8.25,85.42,0.0,4,0.0,6,1750.7133150586112,1799.3477749323713,1775.0305449954915
73,73,5,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,10.0,8.0,85.42,0.11,0,0.0,1,1250.0,1250.0,1250.0
74,74,2,8.08,7.83,7.83,8.08,7.83,7.83,10.0,10.0,10.0,7.92,85.42,0.01,0,0.0,0,1400.0,1400.0,1400.0
75,75,3,8.0,8.0,8.0,7.83,7.83,7.75,10.0,10.0,10.0,7.92,85.33,0.1,0,0.0,0,1700.0,1700.0,1700.0
76,76,36,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,7.83,85.33,0.11,0,0.0,1,1770.0,1770.0,1770.0
77,77,250,7.92,8.08,8.0,7.92,8.0,8.08,10.0,10.0,9.33,8.0,85.33,0.0,0,0.0,0,1300.0,1300.0,1300.0
78,78,250,8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,10.0,7.92,85.33,0.1,0,0.0,2,1300.0,1300.0,1300.0
79,79,20,7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,10.0,7.92,85.33,0.0,0,0.0,2,1600.0,1600.0,1600.0
80,80,300,8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,10.0,7.83,85.33,0.0,0,0.0,6,1200.0,1200.0,1200.0
81,81,360,7.83,7.83,7.92,8.08,7.75,7.83,10.0,10.0,10.0,8.08,85.33,0.05,0,0.0,2,1750.7133150586112,1799.3477749323713,1775.0305449954915
82,82,300,7.92,7.83,7.75,8.33,7.75,7.75,10.0,10.0,10.0,8.0,85.33,0.1,0,0.0,3,1750.7133150586112,1799.3477749323713,1775.0305449954915
83,83,250,8.0,7.92,7.75,8.0,7.92,7.83,10.0,10.0,10.0,7.83,85.25,0.1,0,2.0,2,1750.7133150586112,1799.3477749323713,1775.0305449954915
84,84,275,8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,10.0,7.92,85.25,0.11,0,0.0,0,1550.0,1550.0,1550.0
85,85,250,7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,10.0,7.92,85.25,0.12,0,0.0,2,1550.0,1550.0,1550.0
86,86,54,7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,10.0,8.0,85.17,0.11,0,0.0,3,1250.0,1400.0,1325.0
87,87,250,8.25,8.0,7.67,7.92,7.75,7.67,10.0,10.0,10.0,7.92,85.17,0.0,0,0.0,7,1400.0,1400.0,1400.0
88,88,320,7.75,8.0,7.58,8.0,8.0,7.92,10.0,10.0,10.0,7.83,85.08,0.11,0,1.0,8,1750.7133150586112,1799.3477749323713,1775.0305449954915
89,89,250,8.17,7.83,7.58,8.08,8.0,7.75,10.0,10.0,10.0,7.67,85.08,0.0,0,0.0,0,2560.0,2560.0,2560.0
90,90,100,8.42,8.0,7.42,8.0,7.92,7.92,9.33,10.0,10.0,8.08,85.08,0.1,2,0.0,7,1700.0,1700.0,1700.0
91,91,12,7.58,7.83,7.83,7.92,7.83,8.17,10.0,10.0,10.0,7.92,85.08,0.11,2,0.0,2,1750.7133150586112,1799.3477749323713,1775.0305449954915
92,92,250,7.83,8.0,7.75,7.75,7.83,7.83,10.0,10.0,10.0,8.08,85.08,0.11,0,0.0,8,2136.0,2136.0,2136.0
93,93,13,8.08,8.17,7.92,8.0,8.08,8.0,9.33,9.33,10.0,8.17,85.08,0.01,1,0.0,7,1750.7133150586112,1799.3477749323713,1775.0305449954915
94,94,360,7.67,8.0,7.83,8.0,7.92,7.83,10.0,10.0,10.0,7.83,85.08,0.0,0,0.0,5,1750.7133150586112,1799.3477749323713,1775.0305449954915
95,95,27,7.5,7.92,8.25,7.83,7.92,7.75,10.0,10.0,10.0,7.92,85.08,0.0,0,0.0,0,1750.7133150586112,1799.3477749323713,1775.0305449954915
96,96,200,8.17,7.92,7.75,7.75,7.67,7.75,10.0,10.0,10.0,8.0,85.0,0.11,0,0.0,1,1800.0,1800.0,1800.0
97,97,135,8.0,7.92,7.75,7.92,7.75,7.83,10.0,10.0,10.0,7.83,85.0,0.0,0,0.0,3,1750.7133150586112,1799.3477749323713,1775.0305449954915
98,98,36,7.83,8.0,7.58,7.92,7.92,7.83,10.0,10.0,10.0,7.92,85.0,0.12,1,1.0,1,1900.0,1900.0,1900.0
99,99,1,7.83,8.0,7.83,7.75,7.67,7.83,10.0,10.0,10.0,8.08,85.0,0.09,0,0.0,3,1300.0,1300.0,1300.0
100,100,170,8.17,7.83,7.92,7.75,7.67,7.83,10.0,10.0,10.0,7.83,85.0,0.11,0,5.0,7,1.0,1.0,1.0
101,101,38,7.75,7.83,7.75,8.08,8.0,7.75,10.0,10.0,10.0,7.83,85.0,0.0,0,0.0,5,1580.0,1580.0,1580.0
102,102,31,8.0,8.0,7.83,7.83,7.67,7.67,10.0,10.0,10.0,8.0,85.0,0.12,0,0.0,3,1100.0,1100.0,1100.0
103,103,1,7.92,8.17,7.75,8.08,7.42,7.83,10.0,10.0,10.0,7.83,85.0,0.0,0,0.0,0,1400.0,1400.0,1400.0
104,104,15,7.75,7.92,7.75,7.75,8.0,8.0,10.0,10.0,10.0,7.83,85.0,0.0,0,0.0,1,1750.7133150586112,1799.3477749323713,1775.0305449954915
105,105,275,7.83,8.08,7.67,8.0,7.75,7.67,10.0,10.0,10.0,8.0,85.0,0.04,0,0.0,1,1066.8,1584.96,1325.88
106,106,243,7.92,7.92,7.67,7.83,7.92,7.83,10.0,10.0,10.0,7.83,84.92,0.0,1,6.0,2,1750.7133150586112,1799.3477749323713,1775.0305449954915
107,107,252,7.92,7.83,7.75,7.83,7.75,8.0,10.0,10.0,10.0,7.83,84.92,0.12,0,0.0,1,1600.0,1950.0,1775.0
108,108,20,7.67,7.83,8.0,7.58,8.0,7.92,10.0,10.0,10.0,7.92,84.92,0.11,0,0.0,0,800.0,800.0,800.0
109,109,134,8.0,7.83,7.83,7.92,7.75,7.75,10.0,10.0,10.0,7.83,84.92,0.12,0,0.0,2,1620.0,1620.0,1620.0
110,110,50,7.75,7.92,7.83,7.75,7.75,8.0,10.0,10.0,10.0,7.92,84.92,0.11,0,0.0,3,1600.0,1950.0,1775.0
111,111,25,7.75,8.0,7.75,7.83,7.5,7.92,10.0,10.0,10.0,8.17,84.92,0.11,0,0.0,0,1200.0,1200.0,1200.0
112,112,4,8.0,7.92,7.75,7.75,8.0,7.75,10.0,10.0,10.0,7.75,84.92,0.11,0,0.0,2,1200.0,1200.0,1200.0
113,113,10,8.0,8.0,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.92,84.92,0.12,0,0.0,2,1000.0,1000.0,1000.0
114,114,320,8.0,7.67,7.83,8.17,7.92,7.75,10.0,10.0,10.0,7.58,84.92,0.06,1,0.0,9,1750.7133150586112,1799.3477749323713,1775.0305449954915
115,115,10,7.92,7.58,7.83,7.83,7.83,7.83,10.0,10.0,10.0,8.0,84.83,0.0,0,0.0,0,350.0,350.0,350.0
116,116,1,7.75,7.92,7.67,7.67,8.25,7.75,10.0,10.0,10.0,7.83,84.83,0.12,0,0.0,1,1400.0,1900.0,1650.0
117,117,14,7.67,7.75,7.75,7.75,7.83,8.0,10.0,10.0,10.0,8.08,84.83,0.0,3,0.0,15,1750.7133150586112,1799.3477749323713,1775.0305449954915
118,118,300,7.75,7.92,7.83,7.92,7.75,7.67,10.0,10.0,10.0,8.0,84.83,0.1,0,0.0,2,1500.0,2000.0,1750.0
119,119,300,7.42,7.92,7.92,8.0,7.83,7.83,10.0,10.0,10.0,7.92,84.83,0.1,0,0.0,4,1500.0,2000.0,1750.0
120,120,50,7.75,7.75,7.75,7.75,8.0,7.75,10.0,10.0,10.0,8.0,84.75,0.12,0,0.0,0,1750.7133150586112,1799.3477749323713,1775.0305449954915
121,121,150,7.92,7.83,7.58,7.92,7.75,7.83,10.0,10.0,10.0,7.92,84.75,0.13,0,0.0,0,1800.0,1800.0,1800.0
122,122,275,7.83,7.75,8.0,7.67,7.67,7.67,10.0,10.0,10.0,8.17,84.75,0.11,0,0.0,4,1450.0,1450.0,1450.0
123,123,250,7.75,8.0,8.0,8.33,7.67,7.92,10.0,10.0,9.33,7.75,84.75,0.15,0,0.0,3,1200.0,1200.0,1200.0
124,124,2,7.83,7.58,7.58,7.83,7.75,7.67,10.0,10.0,10.0,8.5,84.75,0.18,0,0.0,2,800.0,1050.0,925.0
125,125,150,7.83,7.83,7.5,8.0,7.83,7.67,10.0,10.0,10.0,8.0,84.67,0.0,0,0.0,2,1350.0,1350.0,1350.0
126,126,2,7.92,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.92,84.67,0.12,0,0.0,7,1200.0,1200.0,1200.0
127,127,20,7.75,7.75,7.75,7.42,8.08,7.83,10.0,10.0,10.0,8.08,84.67,0.12,0,0.0,0,170.0,170.0,170.0
128,128,15,8.08,7.75,7.67,7.83,7.5,7.92,10.0,10.0,10.0,7.92,84.67,0.1,0,0.0,2,1150.0,1150.0,1150.0
129,129,120,7.75,7.83,7.58,8.0,7.92,7.75,10.0,10.0,10.0,7.83,84.67,0.1,0,0.0,1,1600.0,1600.0,1600.0
130,130,50,8.17,8.0,7.83,7.17,7.83,7.75,10.0,10.0,10.0,7.92,84.67,0.12,0,0.0,0,1750.0,1750.0,1750.0
131,131,250,8.08,7.83,7.75,7.83,7.58,7.67,10.0,10.0,10.0,7.92,84.67,0.1,0,0.0,3,1900.0,1900.0,1900.0
132,132,20,7.67,7.58,7.75,7.75,7.67,8.58,10.0,10.0,10.0,7.67,84.67,0.08,0,0.0,1,1750.0,1750.0,1750.0
133,133,275,8.0,7.58,7.83,7.75,7.75,7.75,10.0,10.0,10.0,8.0,84.67,0.11,0,0.0,4,1200.0,1200.0,1200.0
134,134,1,8.08,7.83,7.75,7.83,7.92,8.0,10.0,10.0,9.33,7.92,84.67,0.0,1,0.0,10,1750.7133150586112,1799.3477749323713,1775.0305449954915
135,135,10,8.0,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.75,84.67,0.11,0,0.0,0,1000.0,1000.0,1000.0
136,136,250,7.75,7.83,7.75,7.83,7.75,7.83,10.0,10.0,10.0,7.92,84.67,0.0,0,0.0,0,1550.0,1550.0,1550.0
137,137,235,7.75,7.92,7.83,8.0,7.58,7.75,10.0,10.0,10.0,7.83,84.67,0.11,0,0.0,0,2000.0,2000.0,2000.0
138,138,250,8.0,7.83,7.67,7.83,7.67,8.0,10.0,10.0,10.0,7.67,84.67,0.11,0,0.0,4,1310.64,1310.64,1310.64
139,139,125,7.67,7.83,7.67,8.0,7.67,7.83,10.0,10.0,10.0,8.0,84.67,0.12,0,0.0,4,1524.0,1524.0,1524.0
140,140,80,7.83,7.58,7.67,7.92,7.92,7.83,10.0,10.0,10.0,7.92,84.67,0.13,0,0.0,3,1200.0,1200.0,1200.0
141,141,320,7.92,7.83,7.75,7.92,7.67,7.75,10.0,10.0,10.0,7.83,84.67,0.11,0,0.0,3,1700.0,1850.0,1775.0
142,142,1,7.67,7.83,7.75,7.75,7.92,7.83,10.0,10.0,10.0,7.92,84.67,0.0,0,0.0,3,1750.7133150586112,1799.3477749323713,1775.0305449954915
143,143,300,7.42,7.75,7.75,8.0,8.0,7.92,10.0,10.0,10.0,7.83,84.67,0.2,0,0.0,3,1500.0,2000.0,1750.0
144,144,66,7.92,7.75,7.83,7.75,7.58,7.92,10.0,10.0,10.0,7.83,84.58,0.11,0,0.0,5,1754.0,1754.0,1754.0
145,145,250,7.83,7.67,7.58,7.92,7.67,7.83,10.0,10.0,10.0,8.08,84.58,0.0,0,0.0,4,1500.0,1500.0,1500.0
146,146,125,7.92,7.83,7.58,8.0,7.83,7.67,10.0,10.0,10.0,7.75,84.58,0.0,0,1.0,5,1750.7133150586112,1799.3477749323713,1775.0305449954915
147,147,100,7.83,7.83,7.83,7.75,7.58,7.83,10.0,10.0,10.0,7.92,84.58,0.1,0,0.0,2,1800.0,1800.0,1800.0
148,148,250,7.75,7.83,7.67,7.92,7.75,7.83,10.0,10.0,10.0,7.83,84.58,0.11,0,0.0,1,1524.0,1524.0,1524.0
149,149,250,8.0,7.92,7.67,7.58,7.58,7.67,10.0,10.0,10.0,8.17,84.58,0.09,0,0.0,0,1219.2,1219.2,1219.2
150,150,250,7.67,7.67,7.58,7.75,7.58,8.5,10.0,10.0,10.0,7.83,84.58,0.0,0,0.0,0,1550.0,1550.0,1550.0
151,151,75,7.75,7.75,7.83,7.75,7.58,8.0,10.0,10.0,10.0,7.92,84.58,0.0,0,0.0,5,1600.0,1900.0,1750.0
152,152,11,7.75,7.75,7.75,8.08,7.75,7.75,10.0,10.0,10.0,7.75,84.58,0.0,0,0.0,0,1750.7133150586112,1799.3477749323713,1775.0305449954915
153,153,250,7.67,7.83,7.83,8.0,7.58,7.92,10.0,10.0,10.0,7.75,84.58,0.0,0,0.0,2,1750.0,1750.0,1750.0
154,154,1,7.75,7.83,7.75,8.0,7.83,7.67,10.0,10.0,10.0,7.75,84.58,0.12,0,0.0,2,1450.0,1700.0,1575.0
155,155,250,7.42,7.67,7.75,7.75,8.08,7.83,10.0,10.0,10.0,8.08,84.58,0.11,0,0.0,6,1800.0,1800.0,1800.0
156,156,37,8.0,8.0,7.75,7.75,7.58,7.75,10.0,10.0,10.0,7.75,84.58,0.12,0,0.0,2,1300.0,1300.0,1300.0
157,157,35,8.5,8.0,7.5,7.75,7.5,7.83,10.0,10.0,10.0,7.5,84.58,0.11,0,0.0,1,1100.0,1100.0,1100.0
158,158,275,7.92,7.67,7.92,7.75,7.67,7.58,10.0,10.0,10.0,8.0,84.5,0.1,0,0.0,2,1200.0,1200.0,1200.0
159,159,200,7.92,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,7.83,84.5,0.11,0,0.0,1,1750.0,1750.0,1750.0
160,160,3,7.75,7.92,7.67,7.83,7.75,7.67,10.0,10.0,10.0,7.92,84.5,0.1,0,0.0,1,1680.0,1680.0,1680.0
161,161,250,7.92,7.83,7.83,7.83,7.58,7.58,10.0,10.0,10.0,7.92,84.5,0.11,0,0.0,0,1700.0,1700.0,1700.0
162,162,275,8.08,7.67,7.83,7.83,7.67,7.67,10.0,10.0,10.0,7.75,84.5,0.12,1,0.0,0,1800.0,1800.0,1800.0
163,163,1,7.67,8.0,7.75,7.83,7.75,7.58,10.0,10.0,10.0,7.92,84.5,0.0,0,0.0,2,1100.0,1100.0,1100.0
164,164,250,8.17,7.83,7.67,7.83,7.67,7.83,10.0,10.0,10.0,7.5,84.5,0.11,0,0.0,2,1310.64,1310.64,1310.64
165,165,235,7.92,7.83,7.67,8.0,7.67,7.75,10.0,10.0,10.0,7.67,84.5,0.11,0,0.0,0,2000.0,2000.0,2000.0
166,166,56,8.0,7.92,7.42,8.08,7.5,7.67,10.0,10.0,10.0,7.92,84.5,0.12,0,0.0,0,1350.0,1350.0,1350.0
167,167,250,7.92,7.83,7.75,7.75,7.75,7.83,10.0,10.0,10.0,7.67,84.5,0.11,0,0.0,4,1500.0,1500.0,1500.0
168,168,250,7.67,8.0,7.67,8.0,7.5,7.83,10.0,10.0,10.0,7.83,84.5,0.11,0,0.0,2,1750.7133150586112,1799.3477749323713,1775.0305449954915
169,169,27,7.81,7.81,7.88,7.75,7.38,8.25,9.5,10.0,10.0,8.13,84.5,0.0,0,0.0,4,1750.7133150586112,1799.3477749323713,1775.0305449954915
170,170,320,8.17,7.67,7.75,7.75,7.67,7.75,10.0,10.0,10.0,7.75,84.5,0.0,2,0.0,0,1750.7133150586112,1799.3477749323713,1775.0305449954915
171,171,275,7.58,7.83,7.83,8.0,7.67,7.58,10.0,10.0,10.0,7.92,84.42,0.1,0,0.0,3,1300.0,1300.0,1300.0
